gateway,gateway_document_number,gateway_name
WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA | 18490448000104,18490448000104,WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA
BLISS PAGAMENTOS LTDA | 45af9e83-de21-4599-a2bb-38e91760bcc5,31172740000139,BLISS PAGAMENTOS LTDA
CASH PAY MEIOS DE PAGAMENTO LTDA | cc7de8e3-a62b-4ca6-b677-00677d2e915a,48689840000130,CASH PAY MEIOS DE PAGAMENTO LTDA
Dynamic Pay Pagamentos LTDA | d5ff7cd8-c0b6-4138-a6d0-704699fc6ef3,54767634000101,Dynamic Pay Pagamentos LTDA
PAY2FREE SOLUCOES EM SISTEMAS E PAGAMENTOS LTDA | bd4a2f3a-a372-4b6a-8d16-5491b1c6ef43,44478318000158,PAY2FREE SOLUCOES EM SISTEMAS E PAGAMENTOS LTDA
M C R T3 INVESTIMENTO LTDA | 1bd0a349-eead-4685-9e64-05b9c1e7e915,58321844000114,M C R T3 INVESTIMENTO LTDA
Brapay Negócio é participação LTDA | cb80cdc9-9878-48e6-a561-d98acce70bb8,49138107000190,Brapay Negócio é participação LTDA
HKPPAY PAGAMENTOS E COBRANCAS LTDA | 9d6c0dd7-3f41-4bc3-8d05-33671e727d95,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
LOGAME DO BRASIL LTDA | d71afefa-0298-4b8b-938d-e77f6af2d1f7,56349116000195,LOGAME DO BRASIL LTDA
PAYMENT HK LOGAME LTDA | 56349116000195,56349116000195,PAYMENT HK LOGAME LTDA
DF PARTICIPACOES LTDA | 19bb5b2b-fadc-4d3b-9c1a-95e5d15256f2,57841833000100,DF PARTICIPACOES LTDA
GOLDEN PIG TECNOLOGIA LTDA | 57483876000153,57483876000153,GOLDEN PIG TECNOLOGIA LTDA
P H R OLIVEIRA DR INVESTIMENTOS LTDA | 58321455000199,58321455000199,P H R OLIVEIRA DR INVESTIMENTOS LTDA
ALL BETS | 5be10c27-754d-4659-9653-5b8bac5bea16,93138451000170,ALL BETS
BLISS PAGAMENTOS LTDA | 19b37994-ed11-43fb-a752-6b82c9c1e585,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | 25052caa-0c0d-4e76-899a-80cef14f6aa4,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | 93da6437-b7be-4a33-b4bd-bf4e6aef5345,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | d48ba05c-92e3-4b49-bf43-0ca58acdc6a3,31172740000139,BLISS PAGAMENTOS LTDA
DF PARTICIPACOES LTDA | 0dd388fe-7684-45cf-be2d-6cb7e46c2e7c,57841833000100,DF PARTICIPACOES LTDA
Ye Pay Servicios financieros | afaab512-98ea-4a72-888b-8bf572ae089b,57020169000120,Ye Pay Servicios financieros
ZALKA PAGO LTDA | 5f25fce6-68e6-4948-a47b-780aee48537b,55864118000150,ZALKA PAGO LTDA
Zam Pago Ltda                                      | 6409d844-a074-49d7-b23d-3d90d8583f5a,55864115000116,Zam Pago Ltda
ALL BETS APOSTAS ESPORTIVAS LTDA | d2653c7b-10c7-4b11-9533-8eea54771d5b,93138451000170,ALL BETS APOSTAS ESPORTIVAS LTDA
Pay2free Solucoes Em Sistemas E Pagamentos SA | 44478318000158,44478318000158,Pay2free Solucoes Em Sistemas E Pagamentos SA
POWERFULL TECNOLOGIA LTDA | 683945dd-3ad7-4c24-b126-50cd7ebbe00a,49440778000100,POWERFULL TECNOLOGIA LTDA
F7 JOGOS LTDA | 3aefcc92-9cab-48e4-88f5-3b0fd4deb0ed,57972577000182,F7 JOGOS LTDA
ZRO IP  ESPORTES DA SORTE | faad4023-5ddd-4446-8e3f-c087dffa871b,26264220000116,ZRO IP  ESPORTES DA SORTE
Happy Pago LTDA | 0f8b6e3b-2095-4fe8-9780-0e702dba08d1,55328878000142,Happy Pago LTDA
Okto Pagamentos S.A. | 44783669000172,44783669000172,Okto Pagamentos S.A.
SqalaPay Pagamentos | 63712649-c54a-4391-ac80-9187dacc56cb,49618422000114,SqalaPay Pagamentos
BRILLIANT GAMING LTDA | 56e48ecf-611c-4e99-8939-0eaecf128db7,56259060000188,BRILLIANT GAMING LTDA
Okto Tech Ltda. | da7bf7fb-1e8b-4eb0-9bdf-8a5f10f29b69,51583189000123,Okto Tech Ltda.
FASTCASH DINHEIRO DIGITAL SOCIEDADE UNIPESSOAL LIMITADA | 75647436000176,75647436000176,FASTCASH DINHEIRO DIGITAL SOCIEDADE UNIPESSOAL LIMITADA
BLISS PAGAMENTOS LTDA | 1e61804f-a094-486a-966f-2f974ecad160,31172740000139,BLISS PAGAMENTOS LTDA
